"","date","time","latitude","longitude","stop","subject","ta","vp","ws","mrt","pet"
"210",2018-09-29,"17:28:17",33.457766,-112.041084,"7","9",37.8,12,2.9,65.7,52
"211",2018-09-29,"17:27:17",33.457713,-112.041175,"7","9",37.5,13,2.3,57.1,47.6
"212",2018-09-29,"17:27:17",33.457793,-112.041133,"7","9",37.5,12,2,59.9,49.1
"213",2018-09-29,"17:28:17",33.457705,-112.041026,"7","9",37.3,12,2.1,51.2,44.6
"214",2018-09-29,"17:28:17",33.457724,-112.040923,"7","9",36.4,13,0.7,41.9,39.4
"215",2018-09-29,"16:55:16",33.451554,-112.046523,"3","10",38.2,12,1.6,59,49.2
"216",2018-09-29,"16:55:16",33.451569,-112.046543,"3","10",38.1,12,1.5,60.6,50.1
"217",2018-09-29,"16:55:16",33.451569,-112.046546,"3","10",38.1,12,1.5,60.6,50.1
"218",2018-09-29,"16:56:16",33.451568,-112.046546,"3","10",38.1,12,1.5,60.6,50.1
"219",2018-09-29,"16:56:16",33.451568,-112.046548,"3","10",38.1,12,1.5,60.6,50.1
"220",2018-09-29,"16:56:16",33.451568,-112.046548,"3","10",38.1,12,1.5,60.6,50.1
"221",2018-09-29,"16:56:16",33.451568,-112.046548,"3","10",38.1,12,1.5,60.6,50.1
"222",2018-09-29,"16:56:16",33.451568,-112.04655,"3","10",38.1,12,1.5,60.6,50.1
"223",2018-09-29,"16:56:16",33.451568,-112.04655,"3","10",38.1,12,1.5,60.6,50.1
"224",2018-09-29,"16:57:16",33.451568,-112.04655,"3","10",38.1,12,1.5,60.6,50.1
"225",2018-09-29,"16:57:16",33.451568,-112.046551,"3","10",38.1,12,1.5,60.6,50.1
"226",2018-09-29,"16:57:16",33.451578,-112.046556,"3","10",38.1,12,1.5,60.6,50.1
"227",2018-09-29,"16:57:16",33.451585,-112.046563,"3","10",38.1,12,1.5,60.6,50.1
"228",2018-09-29,"16:57:16",33.451591,-112.046556,"3","10",38.1,12,1.5,60.6,50.1
"229",2018-09-29,"16:57:16",33.451605,-112.046561,"3","10",38.1,12,1.5,60.6,50.1
"230",2018-09-29,"16:58:16",33.451591,-112.046581,"3","10",38,12,0.4,62.6,52.2
"231",2018-09-29,"16:58:16",33.451645,-112.046591,"3","10",38.1,12,0.5,63.1,52.4
"232",2018-09-29,"17:03:17",33.451521,-112.046628,"3","11",38.1,11,1.4,61.8,51
"233",2018-09-29,"17:03:17",33.451524,-112.046633,"3","11",38.1,12,1.6,61.5,50.8
"234",2018-09-29,"17:04:17",33.451536,-112.046661,"3","11",38.1,11,1.4,62.7,51.5
"235",2018-09-29,"17:04:17",33.45154,-112.046654,"3","11",38.1,11,1.4,62.7,51.5
"236",2018-09-29,"17:04:17",33.451556,-112.04663,"3","11",38,12,0.6,65,53.5
"237",2018-09-29,"17:04:17",33.451543,-112.046646,"3","11",38,12,0.8,64.4,52.9
"238",2018-09-29,"17:04:17",33.451554,-112.046646,"3","11",38,12,0.8,64.4,52.9
"239",2018-09-29,"17:05:17",33.451551,-112.046654,"3","11",38,12,0.8,64.4,52.9
"240",2018-09-29,"17:04:17",33.451573,-112.046643,"3","11",38,12,0.6,62.4,51.9
"241",2018-09-29,"17:44:17",33.457793,-112.040948,"7","11",37.5,12,1,51.4,45.1
"242",2018-09-29,"17:44:17",33.457735,-112.040914,"7","11",37.8,12,0.5,59.3,50
