"","park_name","year","recreation_visitors","non_recreation_visitors","recreation_hours","non_recreation_hours","concessioner_lodging","concessioner_camping","tent_campers","rv_campers","backcountry","non_recreation_overnight_stays","miscellaneous_overnight_stays"
"294","President W.J. Clinton Birthplace Home NHS",2022,6078,0,6078,0,0,0,0,0,0,0,0
"295","President's Park",2022,714224,0,1097104,0,0,0,0,0,0,0,0
"296","Prince William Forest Park",2022,294916,120,3349004,240,0,27792,17231,2104,373,0,49322
"297","Pu'uhonua o Honaunau NHP",2022,311441,0,311441,0,0,0,0,0,0,0,0
"298","Pu'ukohola Heiau NHS",2022,31602,232470,15802,38729,0,0,0,0,0,0,0
"299","Rainbow Bridge NM",2022,81,0,81,0,0,0,0,0,0,0,0
"300","Reconstruction Era NHP",2022,18262,2922,6725,3652,0,0,0,0,0,0,0
"301","Redwood NP",2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
"302","Richmond NBP",2022,173124,148193,282664,37049,0,0,0,0,0,0,0
"303","Rio Grande W&SR",2022,263,0,56010,0,0,0,0,0,2531,0,0
"304","River Raisin NBP",2022,241998,0,483998,0,0,0,0,0,0,0,0
"305","Rock Creek Park",2022,2026156,12419553,2607428,6209774,0,0,0,0,0,0,0
"306","Rocky Mountain NP",2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
"307","Roger Williams NMEM",2022,33838,37452,48578,2998,0,0,0,0,0,0,0
