"","year","epa_region","state","number_NPDESpermits_majorwatershed","number_NPDESpermits_nonmajorwatershed","total_pollutants_lb_yr_majorwateshed","total_pollutants_lb_yr_nonmajorwateshed","total_TOXICpollutants_lb_yr_majorwatershed","total_TOXICpollutants_lb_yr_nonmajorwatershed"
"294",2018,"6","ARKANSAS",116,683,507853622,293523415,395655,18567
"295",2018,"9","CALIFORNIA",245,225,3311532850,353031963,66703760,383682487
"296",2018,"8","COLORADO",125,449,409237699,345710729,314188,10458
"297",2018,"1","CONNECTICUT",86,65,41812653,54747822,830624,2584
"298",2018,"3","DELAWARE",18,32,9730925,315068,450741,733
"299",2018,"3","DISTRICT OF COLUMBIA",4,7,11631432,33427,4332,22
"300",2018,"4","FLORIDA",407,276,3216575990,199990913,530026,292634
"301",2018,"4","GEORGIA",204,582,215478587,16100625,657740,11138
"302",2018,"9","GUAM",4,13,5054558,2512631,1597,6444
"303",2018,"6","GULF OF MEXICO",NA,1,NA,NA,NA,NA
"304",2018,"9","HAWAII",18,349,51935445,7092275,897074,38323
"305",2018,"10","IDAHO",39,127,99711573,4261565,10158,2371
"306",2018,"5","ILLINOIS",270,1259,795424524,594043115,2637845,184358
"307",2018,"5","INDIANA",191,11802,1678789581,190353968,698208,24235
"308",2018,"7","IOWA",142,1487,95954150,170143223,78445,4041769
"309",2018,"7","KANSAS",61,1328,193152780,56914556,59490,8459
"310",2018,"4","KENTUCKY",138,1421,512174884,392906769,2178233,157626
"311",2018,"6","LOUISIANA",240,1056,45467919806,2489649620,1965998,153980
"312",2018,"1","MAINE",74,332,86152836,1329572,14897,2175
"313",2018,"9","MARIANA ISLANDS",2,3,710551,298,0,2
"314",2018,"3","MARYLAND",94,415,56190504,80151216,874565,46362
"315",2018,"1","MASSACHUSETTS",123,106,2786410307,482805605,774393,39668
"316",2018,"5","MICHIGAN",193,453,941267166,466943361,568238,1715878099
"317",2018,"5","MINNESOTA",102,638,2504102562,56398412,155157,931
"318",2018,"4","MISSISSIPPI",92,1154,47430889,160511174,33668,33044
"319",2018,"7","MISSOURI",179,2625,547648848,15007828614,2065723,21341549
"320",2018,"8","MONTANA",33,158,118703107,51672748,11760,84044
"321",2018,"7","NEBRASKA",51,635,349449440,860612048,33863,172470
"322",2018,"9","NEVADA",14,90,570147911,105916922,10413,9447
"323",2018,"1","NEW HAMPSHIRE",48,33,180531691,776715,19666,771
"324",2018,"2","NEW JERSEY",134,350,331641507,18083919,241018,8559
"325",2018,"6","NEW MEXICO",34,89,33364788,7462138,33064923,494
"326",2018,"2","NEW YORK",319,1261,1109058027,270910008,1960309,61661
"327",2018,"4","NORTH CAROLINA",226,1203,177448107,52648501809,54687,1151542
"328",2018,"8","NORTH DAKOTA",24,84,142130799,71300481,114635,6265
"329",2018,"5","OHIO",289,3085,14098340764,1593600430,490865,95845
"330",2018,"6","OKLAHOMA",105,369,384663093,865235306,178464,31961
"331",2018,"10","OREGON",73,280,135237215,5828728,21972,2248
"332",2018,"3","PENNSYLVANIA",404,5804,3741106363,8452196475,81466561520,41238659
"333",2018,"2","PUERTO RICO",71,153,836595913,265220287,225550,19913
"334",2018,"1","RHODE ISLAND",23,49,18549696,4558764,47143,1906
"335",2018,"4","SOUTH CAROLINA",162,261,144485614,4056877,1604820957,6294
"336",2018,"8","SOUTH DAKOTA",23,234,23811544,28585869,6347,3268
"337",2018,"4","TENNESSEE",163,978,1113913474,291176727,463664,132672
"338",2018,"6","TEXAS",733,2505,21562536374,4658408948,1707968,893473
"339",2018,"8","UTAH",43,163,388303160,172420230,204646,6535
"340",2018,"1","VERMONT",34,248,12151181,1106056,14908,2496
"341",2018,"2","VIRGIN ISLANDS",8,77,12221170,18840015,1229,873195
"342",2018,"3","VIRGINIA",153,991,316102109,155956946,111364,8442
"343",2018,"10","WASHINGTON",77,364,11594775,3579042,9361,2348
"344",2018,"3","WEST VIRGINIA",90,1941,1456000839,1504458254,2522578,1700437
"345",2018,"5","WISCONSIN",126,1150,204378481,59198547,80389,24726
"346",2018,"8","WYOMING",24,770,56003015,661882165,7155,76225218
"347",2017,"4","ALABAMA",176,1267,1636093879,850995313,608602,14518775
"348",2017,"10","ALASKA",41,44,76018292,2262989,36068,1121
"349",2017,"9","AMERICAN SAMOA",4,2,15319837,25685,1092,1
"350",2017,"9","ARIZONA",76,106,719622144,30136815,79267,1326
"351",2017,"6","ARKANSAS",116,681,432518945,36577045,128806,9133
"352",2017,"9","CALIFORNIA",245,239,2925153183,263274699,56357375,550901
"353",2017,"8","COLORADO",127,443,407236666,345346466,74984,6185
"354",2017,"1","CONNECTICUT",89,66,148895840,58362248,746649,2352
"355",2017,"3","DELAWARE",18,33,7344438,1577699,328183,917
"356",2017,"3","DISTRICT OF COLUMBIA",4,6,8657490,118160,4010,113
"357",2017,"4","FLORIDA",408,280,3670040267,187893107,493679,230300
"358",2017,"4","GEORGIA",207,592,200627615,12677769,154204,7282
"359",2017,"9","GUAM",5,14,4699975,6919670,131519,9395
"360",2017,"6","GULF OF MEXICO",NA,1,NA,NA,NA,NA
"361",2017,"9","HAWAII",18,356,9821919,5604550,40638,4933
"362",2017,"10","IDAHO",39,128,95906169,16611375,16928,4401
"363",2017,"5","ILLINOIS",270,1282,749084981,228681578,1696535,97954
"364",2017,"5","INDIANA",194,10019,1985781281,122100021,1760746,57887
"365",2017,"7","IOWA",142,1500,92791251,172862324,86407,17301
