"","city","bedrooms","bathrooms","sq_ft","price"
"563","Atascadero",2,1,756,90000
"564","Santa Maria-Orcutt",3,3,2328,300000
"565","Santa Maria-Orcutt",3,2,1008,179900
"566","Grover Beach",3,2,1346,349000
"567","Nipomo",3,2,1112,220000
"568","Santa Maria-Orcutt",3,2,1340,155000
"569","Paso Robles",4,2,2236,390000
"570","Santa Maria-Orcutt",5,4,3039,425000
"571","Santa Maria-Orcutt",3,2,1733,249900
"572","Santa Maria-Orcutt",4,3,1947,239000
"573","Buellton",4,3,1868,395000
"574","Buellton",3,3,1475,375000
"575","Buellton",4,3,1868,395000
"576","Buellton",4,3,1868,395000
"577","Santa Maria-Orcutt",4,3,1927,230000
"578","Santa Maria-Orcutt",3,2,1292,189000
"579","Paso Robles",3,2,1657,304900
"580","Santa Maria-Orcutt",3,2,1300,169900
"581","Santa Maria-Orcutt",3,2,1700,286500
"582","San Miguel",4,2,2400,325000
"583","Grover Beach",3,2,1278,375000
"584","Paso Robles",3,2,1396,278000
"585","Paso Robles",3,2,1368,149000
"586","Santa Maria-Orcutt",3,2,1520,209000
"587","Santa Maria-Orcutt",2,2,900,95000
"588","Santa Maria-Orcutt",3,2,1407,199900
"589","Santa Maria-Orcutt",3,2,1170,185000
"590","Lompoc",4,3,3035,449900
"591","Santa Maria-Orcutt",5,4,2900,310000
"592","Santa Maria-Orcutt",4,2,1656,239900
"593","Santa Maria-Orcutt",2,2,980,187900
"594","Arroyo Grande",3,2,1916,450000
"595","San Luis Obispo",3,3,1756,440000
"596","Santa Maria-Orcutt",3,2,1278,260000
"597","New Cuyama",3,1,1201,40900
"598","Paso Robles",3,2,1275,249000
"599","Atascadero",3,3,2000,349000
"600","Santa Maria-Orcutt",3,2,1200,175000
"601","Atascadero",3,2,2000,449970
"602","Grover Beach",3,2,1902,419000
"603","Arroyo Grande",3,3,1568,400000
"604","Santa Maria-Orcutt",3,2,1257,185000
"605","Santa Maria-Orcutt",2,2,1100,139900
"606","Santa Maria-Orcutt",3,2,1461,174900
"607","Soledad",4,2,1353,165360
"608","Santa Maria-Orcutt",3,2,1200,169000
"609","Santa Maria-Orcutt",3,3,2039,240000
"610","Santa Maria-Orcutt",4,3,2150,364000
"611","Arroyo Grande",1,1,748,250000
"612","Santa Maria-Orcutt",4,3,1969,299900
"613","Santa Maria-Orcutt",4,3,2357,281900
"614","Grover Beach",3,1,1522,349900
"615","Santa Maria-Orcutt",3,2,1850,220000
"616","Templeton",3,4,3123,774800
"617","Santa Maria-Orcutt",3,2,1200,135000
"618","Lompoc",3,1,1000,149900
"619","Paso Robles",3,2,2082,599000
"620","Santa Maria-Orcutt",3,2,1200,179000
"621","Santa Maria-Orcutt",3,2,1500,177000
"622","Santa Maria-Orcutt",3,2,1500,177000
"623","Nipomo",4,2,1248,122500
"624","Santa Maria-Orcutt",3,2,1400,239500
"625","Paso Robles",3,2,1080,214900
"626","Santa Maria-Orcutt",3,2,1460,275000
"627","Arroyo Grande",3,2,1437,425000
"628","San Simeon",2,2,1218,274900
